Ep   0 | R= -200.0 | steps=200 | cur=0.263[0.143-0.388] | V=-0.974 | noise=0.509 | tDA=0.000 sero=0.672 NE=0.049 | maxP=-0.456
Ep   5 | R= -200.0 | steps=200 | cur=0.172[0.065-0.286] | V=-81.104 | noise=0.500 | tDA=0.000 sero=0.893 NE=0.080 | maxP=-0.419
Ep  10 | R= -200.0 | steps=200 | cur=0.179[0.045-0.257] | V=-83.895 | noise=0.500 | tDA=0.022 sero=0.888 NE=0.032 | maxP=-0.449
Ep  15 | R= -200.0 | steps=200 | cur=0.246[0.042-0.437] | V=-82.649 | noise=0.437 | tDA=0.075 sero=0.802 NE=0.209 | maxP=-0.275
Ep  20 | R= -200.0 | steps=200 | cur=0.213[0.071-0.354] | V=-82.259 | noise=0.432 | tDA=0.068 sero=0.846 NE=0.140 | maxP=-0.263
Ep  25 | R= -200.0 | steps=200 | cur=0.242[0.105-0.315] | V=-83.569 | noise=0.428 | tDA=0.078 sero=0.825 NE=0.066 | maxP=-0.332
Ep  30 | R= -200.0 | steps=200 | cur=0.174[0.025-0.310] | V=-82.274 | noise=0.433 | tDA=0.069 sero=0.864 NE=0.105 | maxP=-0.308
Ep  35 | R= -200.0 | steps=200 | cur=0.113[0.023-0.184] | V=-82.390 | noise=0.413 | tDA=0.112 sero=0.901 NE=0.029 | maxP=-0.452
Ep  40 | R= -200.0 | steps=200 | cur=0.117[0.044-0.185] | V=-81.645 | noise=0.360 | tDA=0.175 sero=0.894 NE=0.027 | maxP=-0.416
Ep  45 | R= -200.0 | steps=200 | cur=0.110[0.018-0.222] | V=-80.073 | noise=0.270 | tDA=0.292 sero=0.899 NE=0.021 | maxP=-0.443
Ep  50 | R= -200.0 | steps=200 | cur=0.115[0.024-0.183] | V=-80.554 | noise=0.196 | tDA=0.380 sero=0.897 NE=0.025 | maxP=-0.414
Ep  55 | R= -200.0 | steps=200 | cur=0.118[0.035-0.236] | V=-79.932 | noise=0.178 | tDA=0.402 sero=0.890 NE=0.028 | maxP=-0.394
Ep  60 | R= -200.0 | steps=200 | cur=0.105[0.027-0.177] | V=-79.315 | noise=0.142 | tDA=0.473 sero=0.902 NE=0.008 | maxP=-0.439
Ep  65 | R= -200.0 | steps=200 | cur=0.154[0.044-0.293] | V=-79.060 | noise=0.141 | tDA=0.464 sero=0.881 NE=0.099 | maxP=-0.287
Ep  70 | R= -200.0 | steps=200 | cur=0.150[0.042-0.382] | V=-79.194 | noise=0.162 | tDA=0.416 sero=0.887 NE=0.029 | maxP=-0.430
Ep  75 | R= -200.0 | steps=200 | cur=0.161[0.064-0.380] | V=-80.010 | noise=0.203 | tDA=0.351 sero=0.880 NE=0.050 | maxP=-0.346
Ep  80 | R= -200.0 | steps=200 | cur=0.182[0.018-0.314] | V=-80.410 | noise=0.240 | tDA=0.296 sero=0.887 NE=0.056 | maxP=-0.400
Ep  85 | R= -200.0 | steps=200 | cur=0.206[0.045-0.365] | V=-80.895 | noise=0.275 | tDA=0.250 sero=0.869 NE=0.103 | maxP=-0.406
Ep  90 | R= -200.0 | steps=200 | cur=0.125[0.051-0.215] | V=-81.368 | noise=0.305 | tDA=0.211 sero=0.878 NE=0.104 | maxP=-0.387
Ep  95 | R= -200.0 | steps=200 | cur=0.112[0.024-0.213] | V=-81.546 | noise=0.333 | tDA=0.178 sero=0.886 NE=0.055 | maxP=-0.450
Ep 100 | R= -200.0 | steps=200 | cur=0.135[0.015-0.232] | V=-81.860 | noise=0.356 | tDA=0.150 sero=0.866 NE=0.110 | maxP=-0.345
Ep 105 | R= -200.0 | steps=200 | cur=0.143[0.045-0.224] | V=-82.107 | noise=0.377 | tDA=0.127 sero=0.864 NE=0.152 | maxP=-0.357
Ep 110 | R= -200.0 | steps=200 | cur=0.104[0.036-0.191] | V=-82.428 | noise=0.395 | tDA=0.107 sero=0.889 NE=0.074 | maxP=-0.410
Ep 115 | R= -200.0 | steps=200 | cur=0.095[0.030-0.188] | V=-83.050 | noise=0.411 | tDA=0.091 sero=0.893 NE=0.083 | maxP=-0.406
Ep 120 | R= -200.0 | steps=200 | cur=0.078[0.019-0.174] | V=-82.894 | noise=0.424 | tDA=0.078 sero=0.902 NE=0.053 | maxP=-0.457
Ep 125 | R= -200.0 | steps=200 | cur=0.104[0.027-0.199] | V=-82.072 | noise=0.380 | tDA=0.143 sero=0.887 NE=0.087 | maxP=-0.411
Ep 130 | R= -200.0 | steps=200 | cur=0.110[0.022-0.208] | V=-82.109 | noise=0.349 | tDA=0.166 sero=0.882 NE=0.074 | maxP=-0.378
Ep 135 | R= -200.0 | steps=200 | cur=0.121[0.042-0.285] | V=-81.896 | noise=0.322 | tDA=0.200 sero=0.869 NE=0.128 | maxP=-0.332
Ep 140 | R= -200.0 | steps=200 | cur=0.093[0.034-0.218] | V=-81.772 | noise=0.323 | tDA=0.194 sero=0.889 NE=0.096 | maxP=-0.400
Ep 145 | R= -200.0 | steps=200 | cur=0.110[0.038-0.206] | V=-81.771 | noise=0.333 | tDA=0.183 sero=0.876 NE=0.055 | maxP=-0.407
Ep 150 | R= -200.0 | steps=200 | cur=0.071[0.015-0.186] | V=-81.868 | noise=0.342 | tDA=0.174 sero=0.900 NE=0.065 | maxP=-0.435
Ep 155 | R= -200.0 | steps=200 | cur=0.078[0.033-0.205] | V=-81.899 | noise=0.350 | tDA=0.163 sero=0.898 NE=0.037 | maxP=-0.444
Ep 160 | R= -200.0 | steps=200 | cur=0.094[0.019-0.227] | V=-81.702 | noise=0.315 | tDA=0.219 sero=0.882 NE=0.110 | maxP=-0.347
Ep 165 | R= -200.0 | steps=200 | cur=0.069[0.020-0.188] | V=-81.249 | noise=0.285 | tDA=0.244 sero=0.902 NE=0.045 | maxP=-0.463
Ep 170 | R= -200.0 | steps=200 | cur=0.078[0.017-0.162] | V=-81.139 | noise=0.273 | tDA=0.260 sero=0.894 NE=0.070 | maxP=-0.431
Ep 175 | R= -200.0 | steps=200 | cur=0.111[0.034-0.228] | V=-81.169 | noise=0.290 | tDA=0.231 sero=0.870 NE=0.105 | maxP=-0.386
Ep 180 | R= -200.0 | steps=200 | cur=0.111[0.040-0.194] | V=-81.672 | noise=0.319 | tDA=0.195 sero=0.874 NE=0.108 | maxP=-0.370
Ep 185 | R= -200.0 | steps=200 | cur=0.085[0.033-0.203] | V=-81.886 | noise=0.344 | tDA=0.164 sero=0.894 NE=0.051 | maxP=-0.441
Ep 190 | R= -200.0 | steps=200 | cur=0.080[0.027-0.189] | V=-82.292 | noise=0.367 | tDA=0.139 sero=0.899 NE=0.071 | maxP=-0.431
Ep 195 | R= -200.0 | steps=200 | cur=0.111[0.047-0.206] | V=-82.567 | noise=0.384 | tDA=0.123 sero=0.877 NE=0.127 | maxP=-0.335
Ep 200 | R= -200.0 | steps=200 | cur=0.128[0.055-0.241] | V=-82.477 | noise=0.381 | tDA=0.123 sero=0.860 NE=0.122 | maxP=-0.292
Ep 205 | R= -200.0 | steps=200 | cur=0.146[0.053-0.221] | V=-82.519 | noise=0.398 | tDA=0.104 sero=0.851 NE=0.161 | maxP=-0.308
Ep 210 | R= -200.0 | steps=200 | cur=0.117[0.027-0.218] | V=-83.048 | noise=0.413 | tDA=0.088 sero=0.864 NE=0.136 | maxP=-0.309
Ep 215 | R= -200.0 | steps=200 | cur=0.125[0.043-0.237] | V=-83.017 | noise=0.426 | tDA=0.074 sero=0.861 NE=0.149 | maxP=-0.329
Ep 220 | R= -200.0 | steps=200 | cur=0.118[0.032-0.225] | V=-83.318 | noise=0.437 | tDA=0.062 sero=0.871 NE=0.139 | maxP=-0.350
Ep 225 | R= -200.0 | steps=200 | cur=0.103[0.030-0.180] | V=-83.370 | noise=0.436 | tDA=0.077 sero=0.888 NE=0.093 | maxP=-0.383
Ep 230 | R= -200.0 | steps=200 | cur=0.098[0.021-0.200] | V=-82.833 | noise=0.391 | tDA=0.128 sero=0.880 NE=0.105 | maxP=-0.356
Ep 235 | R= -200.0 | steps=200 | cur=0.066[0.016-0.151] | V=-82.379 | noise=0.357 | tDA=0.159 sero=0.903 NE=0.034 | maxP=-0.456
Ep 240 | R= -200.0 | steps=200 | cur=0.071[0.017-0.161] | V=-82.156 | noise=0.343 | tDA=0.172 sero=0.896 NE=0.054 | maxP=-0.470
Ep 245 | R= -200.0 | steps=200 | cur=0.130[0.031-0.222] | V=-82.158 | noise=0.358 | tDA=0.149 sero=0.854 NE=0.197 | maxP=-0.262
Ep 250 | R= -200.0 | steps=200 | cur=0.134[0.045-0.225] | V=-82.461 | noise=0.377 | tDA=0.127 sero=0.846 NE=0.209 | maxP=-0.209
Ep 255 | R= -200.0 | steps=200 | cur=0.086[0.024-0.173] | V=-82.916 | noise=0.395 | tDA=0.107 sero=0.893 NE=0.061 | maxP=-0.372
Ep 260 | R= -200.0 | steps=200 | cur=0.102[0.060-0.197] | V=-83.075 | noise=0.411 | tDA=0.090 sero=0.886 NE=0.100 | maxP=-0.329
Ep 265 | R= -200.0 | steps=200 | cur=0.073[0.023-0.175] | V=-83.320 | noise=0.424 | tDA=0.088 sero=0.899 NE=0.028 | maxP=-0.406
